DATE      ,DIVIDENDS
2002-05-13,0.44
2003-02-21,0.4
2004-07-05,0.69
2005-06-05,1.19
2006-12-05,1.5
2007-11-05,2.54
2008-08-05,2.66
2009-08-05,0.36
2010-07-05,2.39
2011-12-05,3.85
2012-10-05,8.97
2013-05-13,5.99
2014-07-17,7.2
2015-07-16,7.2
2016-07-20,7.89
2017-07-20,8.04
